timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:12:18.492006,2.17,37,0.45,2.14
2026-03-24T14:12:18.504022,2.24,24,0.45,2.14
2026-03-24T14:12:18.551739,2.24,27,0.44,2.15
2026-03-24T14:12:18.599733,2.18,43,0.45,2.15
2026-03-24T14:12:18.617786,2.28,22,0.44,2.15
2026-03-24T14:12:18.630005,2.25,37,0.44,2.16
2026-03-24T14:12:18.641784,2.25,36,0.44,2.16
2026-03-24T14:12:18.665817,2.21,33,0.45,2.16
2026-03-24T14:12:18.713574,2.18,36,0.45,2.16
2026-03-24T14:12:18.725861,2.21,27,0.45,2.16
2026-03-24T14:12:18.743871,2.21,17,0.44,2.16
2026-03-24T14:12:18.755807,2.22,25,0.44,2.16
2026-03-24T14:12:18.767872,2.19,12,0.43,2.16
2026-03-24T14:12:18.815790,2.25,48,0.43,2.16
2026-03-24T14:12:18.827874,2.23,21,0.43,2.17
2026-03-24T14:12:18.851669,2.21,16,0.43,2.17
2026-03-24T14:12:18.881717,2.17,32,0.43,2.17
2026-03-24T14:12:18.894166,2.16,37,0.43,2.16
2026-03-24T14:12:18.942249,2.17,37,0.45,2.15
2026-03-24T14:12:18.954148,2.19,26,0.45,2.15
2026-03-24T14:12:18.966091,2.2,37,0.45,2.15
2026-03-24T14:12:18.984212,2.19,29,0.45,2.15
2026-03-24T14:12:18.996402,2.14,18,0.43,2.15
2026-03-24T14:12:19.044000,2.2,29,0.41,2.16
2026-03-24T14:12:19.056222,2.23,25,0.41,2.16
2026-03-24T14:12:19.080068,2.21,37,0.41,2.16
2026-03-24T14:12:19.092343,2.17,16,0.4,2.16
2026-03-24T14:12:19.109812,2.21,34,0.4,2.16
2026-03-24T14:12:19.170107,2.21,39,0.4,2.16
2026-03-24T14:12:19.182084,2.26,39,0.43,2.16
2026-03-24T14:12:19.194078,2.2,50,0.43,2.16
2026-03-24T14:12:19.218162,2.21,11,0.43,2.16
2026-03-24T14:12:19.236103,2.19,20,0.43,2.16
2026-03-24T14:12:19.320219,2.25,47,0.43,2.16
2026-03-24T14:12:19.332024,2.19,10,0.43,2.16
2026-03-24T14:12:19.355998,2.2,44,0.43,2.16
2026-03-24T14:12:23.658152,2.25,28,0.43,2.15
2026-03-24T14:12:23.670180,2.24,35,0.44,2.15
2026-03-24T14:12:23.682084,2.17,31,0.43,2.15
2026-03-24T14:12:23.730835,2.22,34,0.43,2.15
2026-03-24T14:12:23.760264,2.15,41,0.44,2.15
2026-03-24T14:12:23.772146,2.19,44,0.45,2.15
2026-03-24T14:12:23.796512,2.22,44,0.45,2.14
