timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:09:26.060008,2.21,24,0.28,2.17
2026-03-24T14:09:26.071582,2.23,29,0.28,2.18
2026-03-24T14:09:26.144125,2.23,14,0.28,2.18
2026-03-24T14:09:26.180183,2.14,23,0.28,2.18
2026-03-24T14:09:26.192167,2.23,15,0.28,2.18
2026-03-24T14:09:26.210137,2.22,23,0.28,2.18
2026-03-24T14:09:26.269893,2.22,6,0.28,2.18
2026-03-24T14:09:26.455716,2.21,1,0.27,2.18
2026-03-24T14:09:27.103972,2.18,7,0.36,2.17
2026-03-24T14:09:27.643938,2.19,8,0.31,2.19
2026-03-24T14:09:28.105745,2.22,2,0.32,2.18
2026-03-24T14:09:28.129722,2.13,8,0.3,2.18
2026-03-24T14:09:28.472055,2.14,8,0.3,2.18
2026-03-24T14:09:28.573968,2.21,3,0.3,2.18
2026-03-24T14:09:28.675885,2.22,5,0.31,2.17
2026-03-24T14:09:28.759735,2.23,9,0.31,2.18
2026-03-24T14:09:28.771809,2.17,0,0.31,2.18
2026-03-24T14:09:29.252072,2.16,2,0.33,2.17
2026-03-24T14:09:29.473973,2.19,5,0.3,2.18
2026-03-24T14:09:29.726196,2.22,9,0.3,2.18
2026-03-24T14:09:30.056279,2.19,16,0.26,2.18
2026-03-24T14:09:30.068208,2.19,20,0.26,2.18
2026-03-24T14:09:30.104232,2.22,25,0.27,2.18
2026-03-24T14:09:30.164184,2.19,28,0.28,2.18
2026-03-24T14:09:30.182216,2.16,18,0.26,2.18
2026-03-24T14:09:30.194208,2.16,19,0.27,2.17
2026-03-24T14:09:30.206121,2.16,17,0.27,2.17
2026-03-24T14:09:30.218281,2.16,22,0.27,2.17
2026-03-24T14:09:30.266362,2.23,18,0.26,2.17
2026-03-24T14:09:30.290208,2.22,26,0.26,2.17
2026-03-24T14:09:30.307690,2.23,29,0.26,2.17
2026-03-24T14:09:30.319616,2.23,31,0.26,2.17
2026-03-24T14:09:30.331739,2.24,22,0.26,2.18
2026-03-24T14:09:30.379743,2.22,22,0.26,2.18
2026-03-24T14:09:30.404197,2.22,17,0.25,2.18
2026-03-24T14:09:30.416014,2.19,22,0.26,2.18
2026-03-24T14:09:30.434233,2.25,13,0.25,2.19
2026-03-24T14:09:30.445864,2.24,10,0.25,2.19
2026-03-24T14:09:30.505873,2.17,32,0.26,2.18
2026-03-24T14:09:30.518291,2.19,24,0.27,2.17
2026-03-24T14:09:30.529878,2.2,11,0.27,2.17
2026-03-24T14:09:30.541907,2.23,23,0.3,2.18
2026-03-24T14:09:30.560292,2.21,10,0.27,2.19
2026-03-24T14:09:30.608080,2.22,33,0.27,2.19
2026-03-24T14:09:30.620223,2.17,19,0.28,2.18
2026-03-24T14:09:30.632108,2.26,22,0.3,2.18
