timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:24:43.517282,2.04,6,-0.01,2.06
2026-03-24T14:24:43.577136,2.04,-5,0.0,2.05
2026-03-24T14:24:43.613360,2.04,0,-0.01,2.05
2026-03-24T14:24:43.703141,2.07,5,-0.01,2.06
2026-03-24T14:24:43.727153,2.07,-2,0.0,2.06
2026-03-24T14:24:43.793143,2.1,-3,0.0,2.06
2026-03-24T14:24:43.805027,2.13,-4,0.0,2.06
2026-03-24T14:24:44.003286,2.12,1,-0.04,2.06
2026-03-24T14:24:44.021138,2.1,7,-0.04,2.06
2026-03-24T14:24:44.105121,2.01,0,-0.04,2.06
2026-03-24T14:24:44.207190,2.1,6,-0.04,2.06
2026-03-24T14:24:44.291142,2.09,1,-0.05,2.07
2026-03-24T14:24:44.357164,2.04,1,-0.04,2.07
2026-03-24T14:24:45.179215,2.11,1,0.01,2.06
2026-03-24T14:24:45.269203,2.06,7,0.01,2.05
2026-03-24T14:24:45.617201,2.05,1,0.01,2.06
2026-03-24T14:24:45.779123,2.02,1,0.01,2.06
2026-03-24T14:24:45.953455,2.08,0,0.0,2.05
2026-03-24T14:24:47.021198,2.06,1,0.0,2.05
2026-03-24T14:24:47.519659,2.05,7,0.0,2.05
2026-03-24T14:24:47.657222,2.01,6,0.01,2.05
2026-03-24T14:24:47.693678,2.06,2,0.02,2.05
2026-03-24T14:24:47.867175,2.05,5,0.01,2.05
2026-03-24T14:24:49.385090,2.07,0,0.0,2.06
2026-03-24T14:24:49.493114,2.05,0,0.0,2.06
2026-03-24T14:24:51.329350,2.04,-8,-0.04,2.05
2026-03-24T14:24:51.455456,2.01,-6,-0.04,2.04
2026-03-24T14:24:51.467436,2.05,-6,-0.04,2.04
2026-03-24T14:24:51.593329,2.04,11,-0.04,2.04
2026-03-24T14:24:52.121133,2.11,5,-0.04,2.04
2026-03-24T14:24:52.223186,2.12,5,-0.07,2.05
2026-03-24T14:24:52.367098,2.05,0,-0.07,2.05
2026-03-24T14:24:52.487180,2.03,3,-0.07,2.05
2026-03-24T14:24:52.511037,2.05,7,-0.06,2.05
2026-03-24T14:24:52.613052,2.02,3,-0.06,2.05
2026-03-24T14:24:52.673151,2.07,2,-0.04,2.05
2026-03-24T14:24:52.775157,2.03,5,-0.04,2.05
2026-03-24T14:24:52.925358,2.04,2,-0.03,2.04
2026-03-24T14:24:53.009418,2.08,8,-0.03,2.05
2026-03-24T14:24:53.099408,2.04,0,-0.03,2.04
2026-03-24T14:24:53.213474,2.04,2,-0.01,2.04
2026-03-24T14:24:53.471435,2.01,-3,0.0,2.05
2026-03-24T14:24:53.771613,2.04,4,-0.02,2.05
2026-03-24T14:24:54.041362,2.13,5,-0.03,2.05
2026-03-24T14:24:54.125452,2.07,1,-0.03,2.05
2026-03-24T14:24:54.179413,2.07,0,-0.02,2.05
2026-03-24T14:24:54.191471,2.02,6,-0.01,2.05
2026-03-24T14:24:54.305421,2.05,0,-0.01,2.05
2026-03-24T14:24:54.539390,2.09,-7,0.0,2.07
2026-03-24T14:24:54.713530,2.05,0,-0.03,2.05
2026-03-24T14:24:54.737083,2.08,7,-0.01,2.05
2026-03-24T14:24:55.013237,2.05,-1,0.0,2.06
2026-03-24T14:24:55.457563,2.04,6,-0.06,2.05
