node_time_sec,elapsed_sec,cmd_forward_speed,cmd_angular_speed,imu_time_sec,imu_ang_z,imu_ang_vel_z,sensor_state_time,left_encoder,right_encoder
1776686173.246276,3.017067,0.100000,0.000000,1776686173.146734,0.249743,-0.290527,1776686173.146734,7996,9231
1776686173.295566,3.066357,0.100000,0.000000,1776686173.246710,0.228635,-0.174529,1776686173.246710,8165,9396
1776686173.346260,3.117051,0.100000,0.000000,1776686173.246710,0.228635,-0.174529,1776686173.246710,8165,9396
1776686173.396175,3.166966,0.100000,0.000000,1776686173.346688,0.237415,0.077687,1776686173.346688,8373,9603
1776686173.446242,3.217033,0.100000,0.000000,1776686173.346688,0.237415,0.077687,1776686173.346688,8373,9603
1776686173.496248,3.267039,0.100000,0.000000,1776686173.396687,0.240454,0.078751,1776686173.396687,8459,9688
1776686173.545921,3.316712,0.100000,0.000000,1776686173.446698,0.236223,-0.213904,1776686173.446698,8585,9818
1776686173.595651,3.366442,0.100000,0.000000,1776686173.546686,0.215109,-0.178786,1776686173.546686,8752,9985
1776686173.646261,3.417052,0.100000,0.000000,1776686173.546686,0.215109,-0.178786,1776686173.546686,8752,9985
1776686173.696557,3.467348,0.100000,0.000000,1776686173.646665,0.199923,0.008514,1776686173.646665,8963,10199
1776686173.746278,3.517069,0.100000,0.000000,1776686173.646665,0.199923,0.008514,1776686173.646665,8963,10199
1776686173.796187,3.566978,0.100000,0.000000,1776686173.696672,0.203485,0.030862,1776686173.696672,9085,10321
1776686173.845736,3.616527,0.100000,0.000000,1776686173.746679,0.204268,0.026605,1776686173.746679,9169,10406
1776686173.895841,3.666632,0.100000,0.000000,1776686173.796653,0.205490,0.007449,1776686173.796653,9252,10486
1776686173.946272,3.717063,0.100000,0.000000,1776686173.846652,0.203788,-0.035119,1776686173.846652,9377,10609
1776686173.996224,3.767015,0.100000,0.000000,1776686173.896663,0.202023,-0.052146,1776686173.896663,9458,10690
1776686174.046260,3.817051,0.100000,0.000000,1776686173.946641,0.199627,-0.070237,1776686173.946641,9544,10775
1776686174.096252,3.867043,0.100000,0.000000,1776686173.996653,0.194987,-0.060659,1776686173.996653,9668,10900
1776686174.146258,3.917049,0.100000,0.000000,1776686174.046638,0.193641,-0.026605,1776686174.046638,9748,10982
1776686174.196374,3.967165,0.100000,0.000000,1776686174.096628,0.193672,0.020220,1776686174.096628,9869,11106
1776686174.246257,4.017048,0.100000,0.000000,1776686174.146643,0.195217,0.063852,1776686174.146643,9953,11191
1776686174.296246,4.067037,0.100000,0.000000,1776686174.196621,0.198823,0.083008,1776686174.196621,10038,11276
1776686174.345913,4.116704,0.100000,0.000000,1776686174.246617,0.199836,-0.023412,1776686174.246617,10165,11400
1776686174.396247,4.167038,0.100000,0.000000,1776686174.346613,0.197607,-0.027669,1776686174.346613,10330,11563
1776686174.446270,4.217061,0.100000,0.000000,1776686174.346613,0.197607,-0.027669,1776686174.346613,10330,11563
1776686174.495777,4.266568,0.100000,0.000000,1776686174.396627,0.196608,-0.021284,1776686174.396627,10455,11683
1776686174.546262,4.317053,0.100000,0.000000,1776686174.446619,0.195594,-0.030862,1776686174.446619,10540,11763
1776686174.596340,4.367131,0.100000,0.000000,1776686174.496644,0.192180,-0.055338,1776686174.496644,10663,11882
1776686174.645702,4.416493,0.100000,0.000000,1776686174.596604,0.189645,-0.040440,1776686174.596604,10831,12047
1776686174.696002,4.466793,0.100000,0.000000,1776686174.596604,0.189645,-0.040440,1776686174.596604,10831,12047
1776686174.745912,4.516703,0.100000,0.000000,1776686174.646613,0.185200,-0.054274,1776686174.646613,10953,12170
1776686174.796270,4.567061,0.100000,0.000000,1776686174.696622,0.183792,-0.027669,1776686174.696622,11032,12253
1776686174.845946,4.616737,0.100000,0.000000,1776686174.746595,0.181220,-0.054274,1776686174.746595,11157,12386
1776686174.895898,4.666689,0.100000,0.000000,1776686174.846599,0.177546,-0.017027,1776686174.846599,11322,12553
1776686174.946259,4.717050,0.100000,0.000000,1776686174.846599,0.177546,-0.017027,1776686174.846599,11322,12553
1776686174.996248,4.767039,0.100000,0.000000,1776686174.896577,0.176843,-0.012770,1776686174.896577,11443,12676
1776686175.046256,4.817047,0.100000,0.000000,1776686174.946587,0.176942,0.011706,1776686174.946587,11522,12757
1776686175.095841,4.866632,0.100000,0.000000,1776686174.996590,0.177172,0.000000,1776686174.996590,11607,12841
1776686175.145792,4.916583,0.100000,0.000000,1776686175.096585,0.177735,0.008514,1776686175.096585,11816,13050
1776686175.196368,4.967159,0.100000,0.000000,1776686175.096585,0.177735,0.008514,1776686175.096585,11816,13050
1776686175.246258,5.017049,0.100000,0.000000,1776686175.146564,0.178223,-0.005321,1776686175.146564,11939,13169
1776686175.296151,5.066942,0.100000,0.000000,1776686175.196554,0.177813,0.000000,1776686175.196554,12017,13249
1776686175.346262,5.117053,0.100000,0.000000,1776686175.246589,0.177013,-0.019156,1776686175.246589,12104,13334
1776686175.396265,5.167056,0.100000,0.000000,1776686175.296573,0.175905,-0.015963,1776686175.296573,12232,13463
1776686175.446267,5.217058,0.100000,0.000000,1776686175.346550,0.175833,0.005321,1776686175.346550,12314,13547
1776686175.496279,5.267070,0.100000,0.000000,1776686175.396545,0.176184,0.000000,1776686175.396545,12396,13631
1776686175.546248,5.317039,0.100000,0.000000,1776686175.446531,0.176120,0.004257,1776686175.446531,12524,13758
1776686175.595916,5.366707,0.100000,0.000000,1776686175.496561,0.176875,0.036183,1776686175.496561,12605,13839
1776686175.645760,5.416551,0.100000,0.000000,1776686175.546521,0.178637,0.026605,1776686175.546521,12690,13925
1776686175.695879,5.466670,0.100000,0.000000,1776686175.646513,0.179050,-0.022348,1776686175.646513,12898,14132
1776686175.746240,5.517031,0.100000,0.000000,1776686175.646513,0.179050,-0.022348,1776686175.646513,12898,14132
1776686175.795980,5.566771,0.100000,0.000000,1776686175.696515,0.178406,0.013835,1776686175.696515,13022,14254
1776686175.845523,5.616314,0.100000,0.000000,1776686175.796504,0.179968,0.013835,1776686175.796504,13192,14422
1776686175.895942,5.666733,0.100000,0.000000,1776686175.796504,0.179968,0.013835,1776686175.796504,13192,14422
1776686175.945865,5.716656,0.100000,0.000000,1776686175.896511,0.179611,-0.026605,1776686175.846506,13317,14548
1776686175.995929,5.766720,0.100000,0.000000,1776686175.896511,0.179611,-0.026605,1776686175.896511,13401,14629
1776686176.045732,5.816524,0.100000,0.000000,1776686175.946496,0.178969,-0.011706,1776686175.946496,13480,14711
1776686176.095606,5.866397,0.100000,0.000000,1776686176.046504,0.177128,-0.005321,1776686176.046504,13687,14924
1776686176.145598,5.916389,0.100000,0.000000,1776686176.046504,0.177128,-0.005321,1776686176.046504,13687,14924
1776686176.196353,5.967144,0.100000,0.000000,1776686176.096480,0.177411,-0.018091,1776686176.096480,13809,15047
1776686176.245877,6.016668,0.000000,0.000000,1776686176.146491,0.175452,-0.035119,1776686176.146491,13893,15134
1776686176.295843,6.066634,0.000000,0.000000,1776686176.196488,0.174805,-0.009578,1776686176.196488,13978,15217
1776686176.345888,6.116679,0.000000,0.000000,1776686176.246463,0.174334,-0.030862,1776686176.246463,14096,15335
1776686176.395949,6.166740,0.000000,0.000000,1776686176.346525,0.171459,-0.011706,1776686176.346525,14187,15421
1776686176.446347,6.217138,0.000000,0.000000,1776686176.346525,0.171459,-0.011706,1776686176.346525,14187,15421
1776686176.496232,6.267023,0.000000,0.000000,1776686176.446471,0.172171,0.057467,1776686176.446471,14212,15440
1776686176.545922,6.316713,0.000000,0.000000,1776686176.446471,0.172171,0.057467,1776686176.446471,14212,15440
1776686176.596249,6.367040,0.000000,0.000000,1776686176.496443,0.175063,0.051082,1776686176.496443,14214,15441
1776686176.646296,6.417087,0.000000,0.000000,1776686176.546453,0.177537,0.050017,1776686176.546453,14217,15441
1776686176.695881,6.466672,0.000000,0.000000,1776686176.596459,0.179906,0.044696,1776686176.596459,14219,15441
1776686176.746257,6.517048,0.000000,0.000000,1776686176.646425,0.180448,0.006385,1776686176.646425,14222,15441
1776686176.795819,6.566610,0.000000,0.000000,1776686176.696456,0.181668,0.030862,1776686176.696456,14223,15441
1776686176.846268,6.617059,0.000000,0.000000,1776686176.746435,0.187394,0.200070,1776686176.746435,14226,15440
1776686176.895608,6.666399,0.000000,0.000000,1776686176.796431,0.207615,0.362892,1776686176.796431,14226,15441
1776686176.946465,6.717256,0.000000,0.000000,1776686176.896438,0.199909,-0.808792,1776686176.896438,14227,15438
1776686176.996489,6.767280,0.000000,0.000000,1776686176.946417,0.190120,-0.051082,1776686176.946417,14226,15440
1776686177.046259,6.817050,0.000000,0.000000,1776686176.946417,0.190120,-0.051082,1776686176.946417,14226,15440
1776686177.096149,6.866940,0.000000,0.000000,1776686176.996425,0.188964,0.000000,1776686176.996425,14226,15440
1776686177.146299,6.917090,0.000000,0.000000,1776686177.046422,0.188784,-0.005321,1776686177.046422,14227,15440
1776686177.195899,6.966690,0.000000,0.000000,1776686177.096419,0.188959,0.005321,1776686177.096419,14226,15440
1776686177.246259,7.017050,0.000000,0.000000,1776686177.146408,0.189196,0.008514,1776686177.146408,14227,15440
